Firmware Version,Version 2.3 (13),System S/N,200-10008,Associated XDR,12398-1004,,Gain Pot Settings:,A:,7,B:,6,C:,5,D:,5,,,,,,,,,,,,,,,,,,
Date,Time,Log Type,Unit State,Electrical Energy (J),Time Setting (s),Electrical Power (W),Sonication Mode,Error/Reason,Chan A FWD,Chan A REV,Chan B FWD,Chan B REV,Chan C FWD,Chan C REV,Chan D FWD,Chan D REV,LCD Working?,Panic SW Open?,Unit Temperature (C),Cal Factor (A),Cal Factor (B),Cal Factor (C),Cal Factor (D),Delivered Acoustic Energy (J),,Base Ticks (A),Adj Ticks (A),Base Ticks (B),Adj Ticks (B),Base Ticks (C),Adj Ticks (C),Base Ticks (D),Adj Ticks (D)
8/20/2021,14:21:53,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.77,0.08,6.13,0.1,6.2,0.09,6.53,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,30.8,,1421,34,1352,22,1299,53,1343,1
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.79,0.08,6.18,0.1,6.25,0.09,6.59,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,32.25,,1421,34,1352,23,1299,54,1343,1
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.8,0.08,6.17,0.1,6.25,0.09,6.36,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,33.68,,1421,34,1352,24,1299,55,1343,2
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.36,0.09,6.18,0.1,6.26,0.09,6.31,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,35.09,,1421,35,1352,25,1299,56,1343,3
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.48,0.09,6.29,0.1,6.39,0.09,6.47,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,36.53,,1421,35,1352,26,1299,57,1343,3
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.58,0.09,6.32,0.1,6.53,0.09,6.49,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,37.98,,1421,35,1352,27,1299,57,1343,3
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.68,0.08,6.21,0.1,6.43,0.09,6.46,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,39.43,,1421,35,1352,28,1299,57,1343,3
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.7,0.08,6.26,0.1,6.39,0.09,6.54,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,40.88,,1421,35,1352,29,1299,58,1343,3
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.82,0.08,6.3,0.1,6.23,0.09,6.55,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,42.34,,1421,35,1352,30,1299,59,1343,3
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.57,0.08,6.35,0.1,6.13,0.09,6.43,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,43.77,,1421,35,1352,31,1299,60,1343,3
